Region,Soil_Type,Crop,Rainfall_mm,Temperature_Celsius,Fertilizer_Used,Irrigation_Used,Weather_Condition,Days_to_Harvest,Yield_tons_per_hectare
South,Clay,Barley,449.4484065213579,35.79277258687881,True,False,Sunny,118,5.366096284491952
East,Sandy,Barley,601.9456522878702,23.102572825281182,True,True,Rainy,63,6.357763153527678
West,Sandy,Soybean,715.3794695578636,33.35093174320487,True,True,Sunny,117,7.819034079548425
West,Clay,Soybean,513.8574992037604,37.35127919017141,True,True,Rainy,137,5.485018761677055
West,Peaty,Rice,605.4181307006153,22.66444253123394,False,True,Rainy,77,4.586098604796586
South,Silt,Soybean,595.7853987767719,16.81356544102245,True,True,Sunny,125,5.5846304703411125
East,Loam,Cotton,184.203690590792,28.095687949968067,True,False,Cloudy,98,2.6207308670627043
North,Peaty,Soybean,369.48351144005727,25.875380863870024,False,True,Cloudy,128,3.0414609138656328
South,Loam,Maize,171.32591509880018,27.012305910419208,True,True,Sunny,142,3.891862532000745
West,Chalky,Wheat,628.9267094959883,16.531682925051783,True,False,Sunny,86,6.401643840166109
North,Loam,Maize,822.880714563101,33.76268864204096,True,True,Cloudy,115,7.211041734748592
West,Loam,Rice,368.0665045624058,31.50213308351786,True,False,Sunny,75,3.3874033556891883
North,Silt,Maize,290.0963929381263,25.19706584938945,True,False,Rainy,141,3.881461139758756
East,Peaty,Wheat,965.136363451462,29.41234576661589,False,True,Sunny,138,6.709698954043362
South,Sandy,Wheat,118.3698834425952,34.89330095996786,False,True,Sunny,131,2.42565699672186
West,Peaty,Rice,807.9475953175399,18.97763268691749,True,True,Sunny,92,6.87823717535635
South,Chalky,Rice,461.49047310199467,26.178331859594707,True,True,Rainy,103,6.525342202393091
South,Peaty,Rice,963.9227446291457,26.43175734822544,False,False,Sunny,110,5.053774863345608
West,Silt,Cotton,166.7002947257827,37.26382976560644,False,False,Cloudy,138,1.9894169378216515
West,Silt,Rice,437.994305534089,38.920171453056,False,False,Cloudy,127,2.636913545749808
East,Sandy,Cotton,152.8437063640589,33.78556911996013,True,False,Cloudy,147,3.099371324117986
East,Peaty,Soybean,871.161501091428,29.583116967155057,False,True,Rainy,123,6.29035361154918
South,Peaty,Barley,776.2227247792097,25.254636392308356,True,False,Sunny,64,6.132064327378383
North,Sandy,Maize,429.0800189326726,26.03380132034416,True,True,Rainy,102,5.916454736883544
East,Chalky,Soybean,121.05191717969532,29.09087127746069,False,False,Rainy,90,1.6796899575868114
East,Silt,Barley,677.080657450482,39.8416365986398,True,True,Sunny,113,6.977220796092528
East,Peaty,Maize,849.2219073683775,31.80458526825303,False,False,Cloudy,144,5.087147516416202
East,Sandy,Cotton,365.6919602378453,30.62826935783193,False,False,Cloudy,118,1.469889706290849
West,Sandy,Soybean,375.2213830106807,35.98220475515589,False,True,Cloudy,130,4.870308768606067
North,Clay,Maize,279.96697886422953,21.750116189545512,True,False,Rainy,118,3.403148098127113
West,Loam,Wheat,159.6882303393956,21.371280969292904,False,False,Cloudy,111,0.689742190603965
West,Clay,Barley,668.4546405263947,29.886939716348387,True,True,Sunny,101,5.999032473954239
North,Clay,Barley,814.2086060815503,39.8705082906853,False,False,Rainy,106,4.032078898638603
South,Chalky,Barley,411.1877798200197,35.51516102373014,True,False,Rainy,124,3.6224619488560266
East,Silt,Cotton,471.8956242355181,35.840558753404096,False,False,Rainy,136,3.2613460469595337
South,Loam,Wheat,630.0331628283731,29.437827242172624,True,False,Rainy,77,5.169534057940775
East,Clay,Soybean,934.6731662819556,35.01433550510363,True,True,Rainy,140,7.901463971513535
East,Chalky,Soybean,563.8604346306058,15.959429427718428,True,True,Cloudy,100,5.773108319353202
North,Silt,Cotton,557.6693928034864,15.503303963634238,True,False,Cloudy,93,4.843273205176774
South,Peaty,Cotton,506.4691511571159,37.273688600353445,True,False,Cloudy,99,4.817150616127728
East,Loam,Soybean,697.2068682841161,32.29247388617199,True,True,Rainy,146,6.667769769359006
North,Silt,Soybean,684.360458361516,26.547018965379188,True,True,Rainy,131,6.223426390282623
West,Loam,Cotton,934.6048352365544,38.79615572135441,True,True,Sunny,113,8.333790183230779
East,Loam,Barley,675.78899640114,38.329866584302565,False,True,Cloudy,140,4.751756787145996
East,Chalky,Barley,298.0039967199946,22.38333676631108,True,False,Rainy,118,3.4710238629448056
West,Clay,Maize,120.38945583474644,21.86525693117889,False,False,Rainy,100,1.6321094660429742
East,Peaty,Barley,156.38625048272135,36.008886062884486,False,True,Sunny,147,1.7983730403899538
North,Silt,Barley,858.0757634896989,21.5128707027046,True,False,Rainy,140,5.777300720045619
West,Silt,Cotton,335.7866138704121,29.08561356300627,True,False,Cloudy,145,4.421149145094236
North,Silt,Maize,398.1892876093677,22.25901743511222,True,False,Rainy,116,4.527485941218699
West,Peaty,Maize,330.55755591667554,21.00305681645033,False,True,Sunny,137,3.3108875764940886
East,Silt,Barley,844.4082150638374,32.2213284118302,False,True,Sunny,131,5.7087473040858
North,Clay,Cotton,266.96707332905675,34.155110535435426,True,False,Sunny,137,3.4858346265234563
West,Silt,Barley,723.4090814270382,35.05545359638312,False,True,Cloudy,133,5.252307335412182
North,Silt,Wheat,503.5290738055342,32.07418848973614,True,False,Sunny,110,4.983897782039999
East,Sandy,Cotton,615.2920997322087,37.62051201169179,True,True,Rainy,133,6.533535872188797
North,Sandy,Soybean,420.1193051709789,31.258358474057854,True,True,Cloudy,84,5.534967689535996
North,Peaty,Barley,764.4123927849265,28.23454793637504,False,True,Rainy,122,4.887590577477637
South,Loam,Cotton,950.1437473683357,24.447318895874485,False,False,Cloudy,130,5.027291465990472
North,Chalky,Barley,844.5071991965667,24.76232413030351,True,True,Rainy,60,6.853281967632879
North,Clay,Barley,259.16373572476505,19.45129285128617,True,False,Cloudy,126,3.702180190971562
South,Chalky,Cotton,205.2520522074877,24.80204224504653,False,True,Sunny,66,2.7243461581039528
West,Peaty,Soybean,439.8536337622535,22.23379385143172,False,True,Rainy,113,3.2611834813975795
North,Loam,Rice,729.2374114237822,32.897754674991226,True,False,Rainy,65,5.19219454308714
East,Sandy,Rice,805.7700362422129,34.560164141266306,True,False,Cloudy,118,5.973952388588429
South,Silt,Rice,193.501711407821,23.10806491617113,False,True,Rainy,125,2.278952746843043
South,Clay,Soybean,613.7408320448243,31.795014663728924,False,False,Rainy,95,3.844417401809862
North,Sandy,Soybean,269.1608377058051,33.524028901422184,False,False,Cloudy,75,1.82275297710506
West,Chalky,Soybean,421.7437027745122,37.020554363314304,True,True,Sunny,96,5.832827977151596
East,Clay,Cotton,238.40235099983423,20.446154048485123,False,False,Rainy,71,1.2565021241759933
North,Clay,Rice,226.0261697263853,20.67370351456808,False,True,Cloudy,115,2.91583496168478
West,Clay,Cotton,279.1494761842449,20.995053832602025,True,True,Cloudy,137,5.729830585182615
North,Clay,Rice,437.51743199365154,25.705868802656948,False,True,Rainy,76,3.462873409806096
North,Silt,Soybean,262.4685526221141,39.2752527508451,True,True,Cloudy,71,5.070367955466021
South,Sandy,Barley,352.5354417316614,27.541320411667023,False,True,Rainy,134,3.5005521721352197
North,Chalky,Wheat,757.8374900973951,28.79573170095417,False,True,Rainy,133,4.823191369546387
West,Silt,Soybean,849.9971415814584,37.62556499713737,True,True,Rainy,115,8.21679140224539
North,Chalky,Soybean,650.1476668620702,21.59228758361634,True,True,Cloudy,118,6.505879491428765
West,Chalky,Wheat,385.26565935558415,36.01624160763075,True,True,Rainy,89,5.780598477149657
North,Silt,Wheat,455.4556454701544,23.68915408228236,False,False,Rainy,73,3.0952009800518576
East,Peaty,Rice,587.6734814568067,30.965507295605622,True,True,Cloudy,95,6.396396972648943
South,Sandy,Barley,629.5702350990516,29.794657871660576,True,False,Cloudy,62,5.482750230871547
North,Silt,Maize,596.968038222237,37.071803147354245,True,False,Sunny,131,4.8616781554774615
South,Loam,Rice,681.512280565332,39.44246152392104,False,False,Sunny,108,3.732269557244847
South,Loam,Cotton,443.16511588031926,31.99246065583568,True,False,Cloudy,107,4.752179416662856
South,Peaty,Rice,125.0106277816951,32.25378518236511,False,True,Cloudy,145,2.214440874128897
East,Chalky,Wheat,753.5309814229529,32.501699518313806,False,False,Sunny,96,4.434072282321043
East,Loam,Rice,519.101088305024,24.30845251008104,False,True,Rainy,108,4.2286763368764495
East,Sandy,Rice,842.0702723679958,16.51331215676921,True,True,Sunny,85,6.355962285375099
South,Loam,Barley,303.4122363888114,25.201631159131956,False,True,Sunny,69,3.5026648857972646
North,Silt,Wheat,982.439744578868,15.266216276752548,True,True,Cloudy,85,7.694285926912629
East,Silt,Barley,259.7913882672177,37.96729499711762,True,False,Sunny,100,3.6564746150501226
West,Sandy,Barley,134.9653162766495,33.53418487742943,True,False,Sunny,97,1.425965053400215
West,Loam,Wheat,566.5570943019106,37.87686910523502,False,False,Cloudy,126,3.3441876626533595
West,Loam,Barley,864.9148992469262,26.41103331484188,False,False,Sunny,118,4.506514394761105
South,Silt,Maize,548.840563455828,32.41220866217262,True,True,Cloudy,130,5.567984038666468
South,Silt,Soybean,149.6150238160922,27.94824684181789,False,False,Cloudy,103,1.2501524554453822
East,Clay,Wheat,995.4290642840344,36.90979049531736,True,False,Rainy,73,7.443487704388962
South,Sandy,Maize,224.2657673988402,30.5113639661256,True,True,Sunny,99,3.998149913970708
South,Peaty,Rice,425.0074789842636,27.300594143500295,False,True,Cloudy,102,4.528090864043805
North,Chalky,Maize,949.2502675634624,38.949047452036,False,False,Rainy,63,6.018643901436935
South,Sandy,Maize,639.4138387711666,24.49451918285997,True,False,Sunny,120,5.083156745616121
West,Chalky,Wheat,672.280781539805,37.45564732472223,False,False,Sunny,90,4.220173517804103
East,Silt,Maize,495.1388361085275,32.32226737212713,True,False,Sunny,130,4.313251118877917
North,Peaty,Cotton,667.9145103795106,24.71522454285216,True,True,Cloudy,146,5.137397525192151
North,Chalky,Wheat,898.9799577700088,33.00865765481291,False,True,Sunny,64,5.4605959831685205
East,Chalky,Cotton,974.188220052614,38.00250414993302,True,True,Sunny,88,9.304046170841865
North,Sandy,Soybean,452.55361814767866,18.568622865832456,False,True,Cloudy,88,4.187947982724711
East,Loam,Barley,388.3308895492958,23.3592126132024,False,True,Cloudy,118,3.647458134862947
West,Sandy,Maize,700.9689344887012,21.007022171118,False,False,Sunny,117,4.076074769144729
East,Silt,Soybean,960.165602311744,23.42709508715364,True,False,Cloudy,77,6.261108830528209
South,Clay,Rice,624.3691771760263,25.01539679066502,True,False,Sunny,106,4.832571094774948
West,Chalky,Barley,508.16015565278633,36.24872185180234,False,False,Cloudy,101,3.296654470024352
East,Sandy,Wheat,326.14684161259623,15.313282958021937,False,False,Rainy,145,1.9670741675609236
South,Peaty,Barley,627.1733270388638,27.246996237196253,True,False,Rainy,126,4.8807692172050485
North,Chalky,Barley,432.086884683586,20.66072256134104,True,True,Rainy,128,4.913081076363093
West,Peaty,Barley,772.0431324164709,27.273051699079165,True,True,Sunny,77,7.613326809086002
South,Sandy,Maize,254.63269385808093,25.969872142546205,True,False,Rainy,84,3.3936632144249144
East,Sandy,Wheat,444.0302800449793,17.55184232927846,True,True,Cloudy,66,5.143328427312088
North,Chalky,Cotton,979.1733285675188,16.577105708364847,True,True,Sunny,100,7.750818446470953
East,Clay,Soybean,687.0450030586254,28.11203320941079,True,True,Sunny,135,6.4892414471717
North,Loam,Cotton,331.85283322874653,36.381888409710015,False,False,Cloudy,83,2.5570077747003697
North,Loam,Maize,170.74001209231983,33.8365903892899,True,False,Cloudy,89,2.4347971809109703
East,Clay,Cotton,640.5135799287998,17.27148618905607,True,False,Sunny,123,4.843244077722541
North,Loam,Rice,657.2022278236487,23.91215331674227,False,True,Rainy,68,4.959129599634678
South,Peaty,Maize,815.7776924548331,26.685464301754728,False,True,Cloudy,123,5.870261216901122
South,Chalky,Barley,387.4292262756428,19.523580202382163,True,True,Cloudy,130,5.325341987584567
East,Loam,Maize,178.64417821288936,19.735687217576874,False,True,Cloudy,72,2.733629352922439
East,Loam,Cotton,441.1019090938082,37.704009894500444,False,False,Sunny,113,2.9223390616502574
West,Clay,Soybean,548.5779444898908,21.60432942528486,False,False,Rainy,131,3.862318103796743
South,Peaty,Cotton,678.025423158636,24.535231403220173,True,False,Rainy,144,5.268050428487952
West,Loam,Wheat,459.7954685093917,34.86522752898503,True,False,Rainy,73,4.769646825330298
East,Loam,Barley,238.53015676077945,23.7811393183271,True,False,Sunny,90,4.130999753354506
South,Loam,Cotton,417.1031560585436,17.238899336156145,False,True,Cloudy,145,3.622642619774928
South,Peaty,Soybean,405.67331709584,37.13949840985756,True,True,Rainy,145,5.221032149686916
South,Chalky,Cotton,427.70457886082414,16.4150372839048,True,False,Cloudy,147,3.709618344992746
North,Peaty,Wheat,344.1060398350939,29.615288941561907,False,False,Rainy,93,2.6797370155915203
East,Silt,Soybean,512.891434559916,34.91083057719651,True,False,Cloudy,97,4.099331824797202
West,Silt,Barley,558.1576457897185,21.349243767166747,True,True,Cloudy,129,4.971757622448449
South,Chalky,Soybean,882.2703075268523,22.980835978323483,True,True,Rainy,72,8.450336669357245
South,Clay,Soybean,508.33598271086913,16.666138151094202,False,True,Cloudy,115,3.4870876770096944
West,Sandy,Cotton,361.5290167777282,15.988311226665676,True,False,Cloudy,75,3.373468240403467
East,Loam,Maize,533.9371866117884,29.18760502413297,True,False,Sunny,112,5.33437781119975
South,Chalky,Wheat,119.7974588523752,29.482589981778844,True,True,Cloudy,110,3.590659211540868
East,Loam,Cotton,147.60175770048306,24.24876118993226,True,False,Cloudy,96,2.4061384532475976
East,Loam,Cotton,788.8315718688966,23.151335125836432,True,False,Sunny,139,5.930265250228587
West,Peaty,Wheat,382.8629701532715,34.947600010289925,False,True,Sunny,100,3.852839784593039
East,Silt,Barley,843.9759208355285,34.790502827115574,False,False,Sunny,129,4.875339509804008
North,Sandy,Barley,266.6867115198665,25.43513371678872,True,True,Sunny,63,4.908428015758924
East,Loam,Maize,120.13563116831912,31.809702177365597,False,False,Cloudy,77,1.356553564191609
South,Loam,Barley,309.9539523526239,37.3704986268783,False,True,Sunny,95,4.637306177964759
West,Loam,Soybean,861.8278170584708,39.51582082220951,False,False,Rainy,88,5.434229607328613
West,Silt,Rice,701.8376064340463,15.15540989315707,True,True,Cloudy,87,6.555014852743796
East,Peaty,Barley,661.7391018830165,34.28650894524681,True,True,Cloudy,130,5.857116835263223
North,Peaty,Cotton,390.7694931278596,37.98639995871804,True,False,Rainy,114,4.13352817389323
North,Peaty,Barley,922.3799919151836,39.05143643845752,True,False,Sunny,135,6.955322572796233
North,Silt,Rice,478.4364597215494,15.950190938738103,False,True,Cloudy,69,3.50462010331996
South,Chalky,Maize,785.730065809283,34.20882988671856,True,True,Sunny,107,6.71996424870501
South,Clay,Maize,823.1670736535482,30.98298513092351,True,False,Rainy,108,6.616156967844232
West,Sandy,Cotton,409.60478010567846,21.47878717572287,False,True,Sunny,96,3.8012015418539473
North,Peaty,Rice,748.2796176969405,39.78459027747196,True,False,Cloudy,133,4.789213521322089
South,Loam,Cotton,412.48585791232455,33.153643815255336,False,True,Rainy,141,4.02161226789569
West,Silt,Barley,257.6424519239846,16.044468290335676,True,True,Cloudy,83,4.073356204880937
South,Peaty,Rice,144.8024849673791,24.495624277694517,False,True,Rainy,60,2.3345124049709134
West,Loam,Wheat,360.5593806999568,36.74149902241047,False,False,Cloudy,86,1.7694820536627185
South,Chalky,Soybean,614.1873965815818,31.7989083924821,True,True,Sunny,126,5.807887898701256
South,Peaty,Rice,675.5855535595095,18.8387671279126,True,False,Cloudy,80,5.400477076912477
North,Clay,Cotton,605.447871362405,21.503227237396487,True,False,Sunny,103,5.131104810224829
West,Chalky,Rice,570.6696644383236,39.280459425191,True,True,Cloudy,63,6.168400373967311
North,Peaty,Barley,883.6332515072261,35.57023526007133,False,True,Sunny,93,6.843911566970865
South,Sandy,Barley,895.9531232843511,21.15896796346475,True,True,Cloudy,128,7.4021648625418575
East,Sandy,Barley,832.1139386418744,30.60561973250107,True,True,Sunny,104,7.099552519690713
West,Peaty,Barley,590.8688199722542,35.00835522902101,True,True,Sunny,91,6.665146504255932
South,Silt,Barley,123.95952109384804,15.16116791374174,True,True,Cloudy,135,4.377402355757927
South,Sandy,Wheat,736.8699112554474,16.59608681587977,False,False,Cloudy,99,4.130387749155903
East,Peaty,Maize,738.5366343445459,25.26796222180561,True,False,Rainy,139,5.788588515954423
South,Chalky,Maize,143.45587372652264,36.04452757300804,False,True,Rainy,129,2.746755610092673
South,Clay,Rice,695.4772405118698,39.99506962907138,True,False,Sunny,75,6.225066951520863
North,Clay,Barley,621.3830329358756,39.68179895936992,True,True,Sunny,89,6.844826271490218
North,Loam,Cotton,921.5013937250544,27.4076573958141,False,False,Cloudy,134,5.527434464327548
East,Sandy,Cotton,126.67485071259884,21.32706611662434,True,True,Sunny,144,3.2980242793129326
South,Peaty,Soybean,223.95569739940743,17.726965574887245,False,True,Sunny,80,3.1338446758789966
West,Peaty,Soybean,844.6604960323496,30.835209036207782,True,True,Sunny,63,7.1006617271294905
East,Sandy,Cotton,326.9867527265846,39.97506060967717,False,False,Rainy,93,2.322200538681244
East,Sandy,Cotton,169.56566915445185,34.074814455175016,True,True,Cloudy,90,3.3825365707914328
South,Sandy,Barley,343.4522477960468,28.94567571299219,True,False,Cloudy,62,3.276255508201249
West,Sandy,Wheat,314.57363756037154,35.86639998585821,False,False,Sunny,117,2.451174280220998
North,Loam,Cotton,304.3633476447323,35.75334440853118,False,True,Cloudy,64,1.852637008379609
East,Silt,Soybean,158.8953072619646,27.028866203546453,True,False,Cloudy,92,2.817178853253928
East,Silt,Wheat,660.7241836963602,31.569891177871654,False,True,Sunny,92,5.177516287939997
South,Chalky,Soybean,889.5727805251078,34.34865430065921,True,False,Rainy,70,6.277105139476141
North,Peaty,Rice,580.8864193858752,16.19334888765365,True,True,Cloudy,128,6.169779047945465
South,Silt,Soybean,236.20899194638295,37.19805757374904,True,False,Cloudy,129,2.9799538977987265
West,Clay,Maize,988.006197591698,22.134943337665888,True,False,Cloudy,138,6.596698915334376
North,Clay,Maize,103.69435474884342,33.295638078365926,True,True,Cloudy,105,3.5878612083674555
South,Sandy,Maize,875.5286604838434,39.5789340806645,False,False,Cloudy,63,5.915200729392322
North,Silt,Rice,367.4061246245782,15.297093447592584,False,False,Rainy,149,1.9801099428542408
East,Clay,Soybean,853.6259327541958,26.614714330923743,False,False,Rainy,114,3.9743388385605543
West,Loam,Maize,851.2749458355597,23.057050533375303,False,True,Sunny,64,6.4939931555443895
South,Silt,Barley,788.8278755323838,21.95343462297188,False,True,Cloudy,149,4.746431377320096
West,Clay,Soybean,120.03019933094318,25.18476682729045,False,False,Rainy,66,0.0573369474158798
West,Loam,Cotton,277.75353018098525,38.26522141703271,False,True,Sunny,66,3.297436959955601
East,Silt,Soybean,495.1448847681158,20.020013303207733,True,False,Cloudy,62,4.187542000593893
West,Chalky,Maize,571.6957750348099,27.813759040433887,False,False,Rainy,123,3.471376818936643
South,Chalky,Rice,506.89486003642537,32.95236265371646,True,False,Cloudy,113,4.596074276286463
South,Loam,Barley,614.8392859769408,30.52947944245349,True,True,Rainy,77,6.136592811949492
East,Clay,Rice,995.8997833599208,26.22908250614158,True,False,Cloudy,87,8.0128764317304
East,Clay,Soybean,461.8057090992596,35.67829963183739,False,True,Cloudy,122,4.540054970338784
North,Clay,Rice,540.1225019763599,39.15546395606668,False,True,Rainy,115,5.086034475980476
West,Chalky,Barley,574.0073627226682,36.52867206241511,False,False,Sunny,75,4.599838704593484
South,Chalky,Cotton,952.4885698654396,26.43693646365871,True,True,Cloudy,96,8.007653890037572
South,Clay,Rice,840.7403359496893,15.36744737865967,False,True,Rainy,97,5.548022784012231
North,Clay,Maize,656.4279344033226,36.13282400504454,True,True,Cloudy,134,6.591750881310941
North,Clay,Soybean,311.5263588603422,22.053755909336804,False,True,Sunny,80,3.619018489197194
West,Sandy,Maize,858.2027691615575,37.419473239753074,False,False,Rainy,139,4.445915295658439
South,Silt,Rice,104.19347000633104,39.44707207558763,True,False,Cloudy,60,3.2604929864197523
North,Chalky,Maize,414.9657173599809,33.80476383140822,False,True,Sunny,107,4.2756978587717125
North,Silt,Cotton,498.6417606553062,18.425276047109616,True,True,Cloudy,109,5.716403397291151
West,Sandy,Barley,635.0203660799939,23.98449299785443,False,True,Rainy,94,5.4737858973792415
West,Peaty,Wheat,845.5952887144501,35.539513288359736,False,True,Cloudy,114,5.061553250722168
South,Peaty,Cotton,168.2548706228568,18.845505534232306,False,True,Sunny,69,1.950810964303751
South,Loam,Wheat,841.0015269546685,36.92743750468625,True,True,Rainy,86,8.282284225499753
North,Sandy,Maize,938.0990346353652,31.59477869823747,False,True,Cloudy,134,6.349144404404582
South,Loam,Rice,999.851876351498,16.35332536535622,True,True,Rainy,93,8.803788955056364
North,Peaty,Soybean,682.8661163323543,29.521893081349475,True,False,Sunny,132,5.677530703615306
East,Loam,Wheat,346.8450724088809,30.13900192685649,True,False,Rainy,68,3.759527330215805
